Tiempo,Flujo
2454953.7526574275,401299.94
2454953.7533385493,401294.94
2454953.754019671,401353.2
2454953.7547006933,401523.03
2454953.7553819153,401446.22
2454953.756063037,401447.5
2454953.756744159,401285.97
2454953.757425381,401349.62
2454953.7581065027,401422.47
2454953.7587876245,401229.84
2454953.7594688465,401422.38
2454953.760149868,401205.75
2454953.76083099,401238.56
2454953.761512212,401369.62
2454953.762193334,401422.47
2454953.762874456,401203.06
2454953.763555578,401493.9
2454953.7642368,401216.94
2454953.7649179217,401429.44
2454953.7655989435,401366.84
2454953.7662801654,401407.4
2454953.7669612872,401077.38
2454953.767642409,401233.34
2454953.768323631,401240.84
2454953.769004753,401137.03
2454953.7696858747,401269.8
2454953.7703670966,401202.62
2454953.7710481184,401289.88
2454953.7717292407,401313.47
2454953.772410462,401301.62
2454953.7730915844,401223.5
2454953.7737727063,401240.22
2454953.774453928,401578.53
2454953.77513505,401324.44
2454953.775816172,401280.72
2454953.7764971936,401470.53
2454953.7771784156,401472.84
2454953.7778595374,401411.88
2454953.7785407593,401439.22
2454953.779221881,401476.97
2454953.779903003,401405.22
2454953.780584225,401267.1
2454953.781265347,401482.12
2454953.781946369,401331.97
2454953.7826275905,401196.34
2454953.7833087128,401391.78
2454953.7839898346,401406.94
2454953.7846710565,401245.25
2454953.7853521784,401204.78
2454953.7860333,401310.6
2454953.786714522,401265.56
2454953.787395544,401223.22
2454953.7880766657,401400.03
2454953.7887578877,401360.78
2454953.7894390095,401294.2
2454953.7901201313,401296.4
2454953.790801253,401369.5
2454953.791482475,401344.12
2454953.792163597,401292.8
2454953.792844619,401247.1
2454953.793525841,401470.28
2454953.794206963,401410.88
2454953.7948880848,401302.25
2454953.7955693067,401311.8
2454953.7962504285,401400.0
2454953.7969315504,401355.6
2454953.7976127723,401356.5
2454953.798293794,401319.2
2454953.798974916,401559.72
2454953.7996560377,401330.03
2454953.8003372597,401303.25
2454953.8010183815,401375.12
2454953.801699504,401288.78
2454953.8023807253,401329.2
2454953.8030618476,401311.2
2454953.8037428693,401376.34
2454953.8044240912,401347.53
2454953.805105213,401247.44
2454953.805786335,401196.4
2454953.806467557,401396.56
2454953.8071486787,401345.06
2454953.8078299006,401357.88
2454953.8085110225,401467.7
2454953.809192044,401439.12
2454953.809873166,401292.22
2454953.810554388,401383.56
2454953.81123551,401262.88
2454953.8119167318,401374.1
2454953.8125978536,401419.0
2454953.813278976,401417.75
2454953.8139601974,401411.8
2454953.8146412196,401323.25
2454953.8153223414,401215.94
2454953.8160035633,401405.94
2454953.816684685,401311.78
2454953.817365807,401252.28
2454953.818046929,401240.12
2454953.818728151,401322.12
2454953.8194092726,401313.1
2454953.8200903945,401227.25
2454953.8207715163,401344.78
2454953.821452638,401529.3
2454953.8221337604,401286.56
2454953.822814982,401171.94
2454953.823496104,401346.0
2454953.824177226,401388.47
2454953.824858448,401388.78
2454953.82553957,401339.12
2454953.8262205916,401498.72
2454953.8269017134,401298.34
2454953.8275829353,401347.8
2454953.828264057,401204.1
2454953.828945179,401401.22
2454953.829626401,401407.75
2454953.830307523,401293.56
2454953.8309887447,401406.2
2454953.8316697665,401286.22
2454953.8323508888,401213.0
2454953.8330320106,401420.4
2454953.833713232,401155.88
2454953.8343943544,401196.6
2454953.835075476,401393.12
2454953.835756698,401390.06
2454953.83643782,401381.25
2454953.8371188417,401260.34
2454953.8378000637,401309.25
2454953.8384811855,401261.28
2454953.8391623073,401067.8
2454953.8398435293,401284.6
2454953.840524651,401251.97
2454953.841205873,401233.78
2454953.841886995,401553.88
2454953.8425680166,401523.03
2454953.843249139,401235.66
2454953.8439303604,401478.53
2454953.8446114827,401314.2
2454953.8452926045,401468.03
2454953.8459738265,401327.9
2454953.8466549483,401142.84
2454953.84733607,401160.75
2454953.848017192,401421.9
2454953.848698314,401485.03
2454953.8493794356,401354.4
2454953.8500606576,401289.22
2454953.8507417794,401349.22
2454953.8514229013,401403.88
2454953.852104123,401382.4
2454953.852785245,401416.22
2454953.8534662668,401425.2
2454953.854147389,401151.8
2454953.8548286106,401276.75
2454953.855509733,401403.0
2454953.8561908547,401285.7
2454953.8568720766,401229.12
2454953.8575531985,401287.97
2454953.8582343203,401343.22
2454953.858915442,401462.28
2454953.859596564,401395.56
2454953.860277686,401450.56
2454953.8609588076,401243.94
2454953.8616400296,401404.47
2454953.8623211514,401402.56
2454953.8630023734,401329.1
2454953.863683495,401323.22
2454953.8643645174,401295.72
2454953.865045639,401473.75
2454953.865726861,401322.06
2454953.866407983,401074.03
2454953.8670892045,401432.38
2454953.867770327,401274.1
2454953.8684514486,401358.25
2454953.8691326706,401222.97
2454953.8698136923,401307.78
2454953.870494814,401556.53
2454953.871176036,401302.88
